[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:53, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:53, Acq. 60, Trigger: RaspPi, RecNum: 60
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:55, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:55, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:55, Acq. 61, Trigger: RaspPi, RecNum: 61
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:56, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:56, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:56, Acq. 62, Trigger: RaspPi, RecNum: 62
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:57, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:58, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:58, Acq. 63, Trigger: RaspPi, RecNum: 63
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:59, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:59, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:59, Acq. 64, Trigger: RaspPi, RecNum: 64
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:00, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:00, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:00, Acq. 65, Trigger: RaspPi, RecNum: 65
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:02, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:02, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:02, Acq. 66, Trigger: RaspPi, RecNum: 66
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:03, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:03, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:04, Acq. 67, Trigger: RaspPi, RecNum: 67
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:05, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:11, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:11, Acq. 68, Trigger: RaspPi, RecNum: 68
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:12, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:18, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:18, Acq. 69, Trigger: RaspPi, RecNum: 69
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:20, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:20, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:20, Acq. 70, Trigger: RaspPi, RecNum: 70
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:22, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:22, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:22, Acq. 71, Trigger: RaspPi, RecNum: 71
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:23, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:23, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:23, Acq. 72, Trigger: RaspPi, RecNum: 72
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:24, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:25, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:25, Acq. 73, Trigger: RaspPi, RecNum: 73
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:25, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:26, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:26, Acq. 74, Trigger: RaspPi, RecNum: 74
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:27, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:28, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:28, Acq. 75, Trigger: RaspPi, RecNum: 75
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:28, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:29, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:29, Acq. 76, Trigger: RaspPi, RecNum: 76
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:30, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:30, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:30, Acq. 77, Trigger: RaspPi, RecNum: 77
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:31, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:32, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:32, Acq. 78, Trigger: RaspPi, RecNum: 78
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:33, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:33, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:33, Acq. 79, Trigger: RaspPi, RecNum: 79
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:34, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:35, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:35, Acq. 80, Trigger: RaspPi, RecNum: 80
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:36, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:36, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:36, Acq. 81, Trigger: RaspPi, RecNum: 81
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:37, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:38, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:38, Acq. 82, Trigger: RaspPi, RecNum: 82
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:38, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:39, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:39, Acq. 83, Trigger: RaspPi, RecNum: 83
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:40, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:41, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:41, Acq. 84, Trigger: RaspPi, RecNum: 84
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:41, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:47, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:47, Acq. 85, Trigger: RaspPi, RecNum: 85
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:48, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:54, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:54, Acq. 86, Trigger: RaspPi, RecNum: 86
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:55, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:56, Acquiring
