[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:14, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:14, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:15, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:15, Acq. 40, Trigger: RaspPi, RecNum: 40
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:15, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:17, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:17, Acq. 41, Trigger: RaspPi, RecNum: 41
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:17, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:17, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:17, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:17, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:18, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:18, Acq. 42, Trigger: RaspPi, RecNum: 42
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:18, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:21, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:22, Acq. 43, Trigger: RaspPi, RecNum: 43
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:22, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:22, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:22, Acq. 44, Trigger: RaspPi, RecNum: 45
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:22, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:22, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:22, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:23, Acq. 45, Trigger: RaspPi, RecNum: 45
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:23, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:23, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:23, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:23, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:23, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:23, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:23, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:23, Acq. 46, Trigger: RaspPi, RecNum: 46
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:23, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:24, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:24, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:24, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:24, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:24, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:24, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:24, Acq. 47, Trigger: RaspPi, RecNum: 47
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:25, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:25, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:25, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:25, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:26, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:26, Acq. 48, Trigger: RaspPi, RecNum: 48
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:26, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:26, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:26, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:26, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:26, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:27, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:27, Acq. 49, Trigger: RaspPi, RecNum: 49
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:27, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:27, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:27, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:27, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:28, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:29, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:29, Acq. 50, Trigger: RaspPi, RecNum: 50
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:29, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:35, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:35, Acq. 51, Trigger: RaspPi, RecNum: 51
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:35, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:42, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:42, Acq. 52, Trigger: RaspPi, RecNum: 52
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:42, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:43, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:43, Acq. 53, Trigger: RaspPi, RecNum: 53
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:43, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:43, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:44, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:44, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:45, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:45, Acq. 54, Trigger: RaspPi, RecNum: 54
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:45, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:45, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:45, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:46, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:46, Acq. 55, Trigger: RaspPi, RecNum: 55
